"Firstseen (UTC)";"Threat";"Malware";"Host";"URL";"Status";"Registrar";"IP address(es)";"ASN(s)";"Country"
"2017-04-29 22:19:15";"Payment Site";"Cerber";"hjhqmbxyinislkkt.15e8hv.top";"http://hjhqmbxyinislkkt.15e8hv.top";"offline";"Eranet International Limited";"";"";""
"2017-04-29 17:35:19";"Payment Site";"Cerber";"hjhqmbxyinislkkt.19xvyd.top";"http://hjhqmbxyinislkkt.19xvyd.top";"offline";"Eranet International Limited";"";"";""
"2017-04-29 08:03:27";"Payment Site";"Cerber";"hjhqmbxyinislkkt.1mwvgh.top";"http://hjhqmbxyinislkkt.1mwvgh.top";"offline";"Eranet International Limited";"";"";""
"2017-04-28 16:59:34";"Payment Site";"Cerber";"p27dokhpz2n7nvgr.1kyjw7.top";"http://p27dokhpz2n7nvgr.1kyjw7.top";"offline";"Eranet International Limited";"";"";""
"2017-04-28 00:55:56";"C2";"Locky";"185.127.25.176";"http://185.127.25.176/checkupdate";"offline";"";"185.127.25.176";"206440";"RU"
"2017-04-27 23:33:53";"Payment Site";"Cerber";"hjhqmbxyinislkkt.1fnjrj.top";"http://hjhqmbxyinislkkt.1fnjrj.top";"offline";"Eranet International Limited";"";"";""
"2017-04-27 23:31:02";"Payment Site";"Cerber";"p27dokhpz2n7nvgr.17u2yg.top";"http://p27dokhpz2n7nvgr.17u2yg.top";"offline";"Eranet International Limited";"";"";""
"2017-04-27 18:28:04";"Payment Site";"Cerber";"hjhqmbxyinislkkt.1j43kf.top";"http://hjhqmbxyinislkkt.1j43kf.top";"offline";"Eranet International Limited";"";"";""
"2017-04-27 18:12:20";"Payment Site";"Cerber";"hjhqmbxyinislkkt.1fygsg.top";"http://hjhqmbxyinislkkt.1fygsg.top";"offline";"Eranet International Limited";"";"";""
"2017-04-27 10:46:39";"Payment Site";"Cerber";"p27dokhpz2n7nvgr.1nprob.top";"http://p27dokhpz2n7nvgr.1nprob.top";"offline";"Eranet International Limited";"";"";""
"2017-04-27 08:14:44";"Payment Site";"Cerber";"p27dokhpz2n7nvgr.1evjph.top";"http://p27dokhpz2n7nvgr.1evjph.top";"offline";"Eranet International Limited";"";"";""
"2017-04-25 12:08:17";"C2";"Locky";"188.120.239.230";"http://188.120.239.230/checkupdate";"offline";"";"188.120.239.230";"29182";"RU"
"2017-04-23 11:22:48";"Payment Site";"Cerber";"hjhqmbxyinislkkt.1c1ajf.top";"http://hjhqmbxyinislkkt.1c1ajf.top";"offline";"Eranet International Limited";"";"";""
"2017-04-22 10:41:33";"Payment Site";"Cerber";"p27dokhpz2n7nvgr.17m14u.top";"http://p27dokhpz2n7nvgr.17m14u.top";"offline";"Eranet International Limited";"";"";""
"2017-04-21 22:12:24";"Payment Site";"Cerber";"hjhqmbxyinislkkt.1mee2x.top";"http://hjhqmbxyinislkkt.1mee2x.top";"offline";"Eranet International Limited";"";"";""
"2017-04-20 22:12:38";"Payment Site";"Cerber";"p27dokhpz2n7nvgr.1m3xsy.top";"http://p27dokhpz2n7nvgr.1m3xsy.top";"offline";"Eranet International Limited";"";"";""
"2017-04-20 21:11:41";"Payment Site";"Cerber";"hjhqmbxyinislkkt.19hj4f.top";"http://hjhqmbxyinislkkt.19hj4f.top";"offline";"Eranet International Limited";"";"";""
"2017-04-20 10:03:20";"Payment Site";"Cerber";"hjhqmbxyinislkkt.12bxp9.top";"http://hjhqmbxyinislkkt.12bxp9.top";"offline";"Eranet International Limited";"";"";""
"2017-04-20 09:37:48";"Payment Site";"Cerber";"p27dokhpz2n7nvgr.1jpb8w.top";"http://p27dokhpz2n7nvgr.1jpb8w.top";"offline";"Eranet International Limited";"";"";""
"2017-04-20 05:10:38";"Payment Site";"Cerber";"hjhqmbxyinislkkt.12zucf.top";"http://hjhqmbxyinislkkt.12zucf.top";"offline";"Eranet International Limited";"";"";""
"2017-04-20 02:37:03";"Payment Site";"Cerber";"p27dokhpz2n7nvgr.12smak.top";"http://p27dokhpz2n7nvgr.12smak.top";"offline";"Eranet International Limited";"";"";""
"2017-04-17 13:50:34";"Payment Site";"Cerber";"hjhqmbxyinislkkt.1cnkik.top";"http://hjhqmbxyinislkkt.1cnkik.top";"offline";"Eranet International Limited";"";"";""
"2017-04-17 05:13:55";"Payment Site";"Cerber";"hjhqmbxyinislkkt.1ntyds.top";"http://hjhqmbxyinislkkt.1ntyds.top";"offline";"Eranet International Limited";"";"";""
"2017-04-17 01:59:50";"Payment Site";"Cerber";"p27dokhpz2n7nvgr.1ms2rx.top";"http://p27dokhpz2n7nvgr.1ms2rx.top";"offline";"Eranet International Limited";"";"";""
"2017-04-12 01:27:44";"Payment Site";"Cerber";"hjhqmbxyinislkkt.1npg9s.top";"http://hjhqmbxyinislkkt.1npg9s.top";"offline";"Eranet International Limited";"";"";""
"2017-04-09 06:51:19";"Payment Site";"Cerber";"p27dokhpz2n7nvgr.1nhkou.top";"http://p27dokhpz2n7nvgr.1nhkou.top";"offline";"Eranet International Limited";"";"";""
"2017-04-07 00:53:21";"Payment Site";"Cerber";"p27dokhpz2n7nvgr.1a7wnt.top";"http://p27dokhpz2n7nvgr.1a7wnt.top";"offline";"Eranet International Limited";"";"";""
"2017-04-04 08:13:19";"Payment Site";"Cerber";"hjhqmbxyinislkkt.1fy93v.top";"http://hjhqmbxyinislkkt.1fy93v.top";"offline";"Eranet International Limited";"";"";""
"2017-04-03 17:49:41";"Payment Site";"Cerber";"p27dokhpz2n7nvgr.1czh7o.top";"http://p27dokhpz2n7nvgr.1czh7o.top";"offline";"Eranet International Limited";"";"";""
"2017-03-31 17:50:38";"Distribution Site";"Cerber";"www.chromehakc.top";"http://www.chromehakc.top/user.php?f=2.gif";"offline";"Eranet International Limited";"";"";""
"2017-03-31 17:50:34";"Distribution Site";"Cerber";"www.watherfka.top";"http://www.watherfka.top/user.php?f=2.gif";"offline";"Eranet International Limited";"";"";""
"2017-03-31 17:50:30";"Distribution Site";"Cerber";"www.newsectorbs.top";"http://www.newsectorbs.top/user.php?f=2.gif";"offline";"Eranet International Limited";"";"";""
"2017-03-31 11:28:34";"Payment Site";"Cerber";"hjhqmbxyinislkkt.13kn4l.top";"http://hjhqmbxyinislkkt.13kn4l.top";"offline";"Eranet International Limited";"";"";""
"2017-03-31 06:20:20";"Distribution Site";"TorrentLocker";"kolestod.pl";"http://kolestod.pl/file/hit.njk";"offline";"EPAG Domainservices GmbH";"";"";""
"2017-03-30 16:33:58";"C2";"Locky";"91.234.34.98";"http://91.234.34.98/checkupdate";"offline";"";"91.234.34.98";"56485";"UA"
"2017-03-30 15:13:05";"C2";"PayCrypt";"boosterprize.biz";"http://boosterprize.biz/upgrade/5.3/1.5/pass/";"offline";"NAMECHEAP; INC.";"198.144.121.78";"206264";"BZ"
"2017-03-30 13:14:09";"Distribution Site";"TorrentLocker";"polsetk.pl";"http://polsetk.pl/file/pos.cvb";"offline";"EPAG Domainservices GmbH";"";"";""
"2017-03-29 21:48:15";"Payment Site";"Cerber";"hjhqmbxyinislkkt.14klmz.top";"http://hjhqmbxyinislkkt.14klmz.top";"offline";"Eranet International Limited";"";"";""
"2017-03-29 06:24:26";"Payment Site";"Cerber";"p27dokhpz2n7nvgr.1hpvzl.top";"http://p27dokhpz2n7nvgr.1hpvzl.top";"offline";"Eranet International Limited";"";"";""
"2017-03-28 09:27:17";"Distribution Site";"TorrentLocker";"lightpool.pl";"http://lightpool.pl/file/pos.cvb";"offline";"EPAG Domainservices GmbH";"";"";""
"2017-03-28 09:25:24";"Distribution Site";"TorrentLocker";"whitedogs.pl";"http://whitedogs.pl/file/hit.njk ";"offline";"InternetX GmbH";"";"";""
